4408	10361	
47	4980	
7229	3101	
2336	7038	
2719	5266	
11356	6949	
3873	11298	
706	11501	
4626	6381	
9477	7818	
7139	2658	
7347	8800	
10691	8394	
8356	5282	
2009	5407	
5244	5788	
4924	5370	
10077	2893	
8338	937	
1356	619	
1284	4991	
4221	10506	
7866	2725	
3806	4728	
3064	1902	
6782	1567	
6612	10889	
7960	2702	
4211	9423	
864	4241	
4256	5948	
3144	8764	
6760	9307	
11887	6631	
1268	10554	
3335	4019	
5092	9277	
9217	9387	
9477	4526	
9047	11717	
2479	274	
5558	7912	
10717	7510	
5127	3016	
5769	11080	
7288	1356	
1667	3266	
1739	7729	
5166	1122	
4378	7559	
120	4757	
8966	217	
1780	3569	
3803	8586	
5046	10530	
4961	4571	
6154	1276	
11362	2313	
5233	11183	
3859	3155	
8921	1593	
10752	3609	
3351	7765	
5561	10624	
6116	10129	
6355	10450	
434	5469	
5276	2850	
585	8415	
6687	10509	
3394	2372	
4592	8764	
7006	8401	
9812	5606	
6660	5911	
11632	5714	
9783	5701	
11853	9722	
304	7575	
1029	10284	
5660	7437	
13	11562	
5076	3446	
4542	5105	
405	7115	
11681	7254	
11580	7704	
9655	3564	
6432	9237	
1346	5091	
1995	9363	
10612	234	
9206	4401	
6962	5461	
10753	4046	
10372	4441	
4364	11321	
4956	9588	
10836	11141	
864	1195	
11853	11832	
1846	7915	
8408	1474	
6571	1648	
7938	9995	
2495	4548	
10937	8325	
785	6207	
9036	11585	
1379	748	
7102	861	
8809	4077	
10726	4731	
5172	11509	
4582	4301	
2677	3667	
7109	10700	
10576	5070	
10315	2695	
543	716	
6585	856	
10303	5037	
355	9907	
9371	8596	
11787	6713	
1748	5349	
283	11209	
3754	2793	
959	10261	
3721	1775	
604	9426	
10802	5518	
5297	5033	
1093	5253	
2185	1930	
9864	5251	
2265	11105	
4919	2754	
4124	7521	
3144	5549	
3817	11324	
10137	6851	
2893	8692	
6201	4436	
7531	9388	
4143	9128	
4237	9016	
10667	10495	
5189	8371	
8871	5299	
10660	10864	
3322	7801	
11254	1896	
6745	6599	
10521	8977	
9482	11791	
2968	8879	
5862	5449	
5032	2532	
7786	3248	
9118	7876	
283	9314	
6058	3620	
3955	5387	
3317	8208	
4012	5147	
6738	3995	
776	8659	
3140	1297	
11163	8928	
8748	11113	
4118	1982	
6061	11606	
4144	7965	
799	5341	
2162	5697	
8619	9312	
10016	10851	
8265	729	
11007	2965	
4820	8482	
11239	2883	
8743	6417	
9191	2805	
3671	6722	
6768	1425	
5260	8300	
9375	3869	
10748	4917	
4394	1026	
11622	11521	
4965	8716	
11752	10246	
209	5294	
11038	2715	
419	98	
10648	5839	
2093	5742	
3638	2069	
1483	3138	
5090	10333	
6699	3102	
10026	6078	
10266	1169	
9561	368	
2631	9116	
4242	8022	
6231	7956	
10184	1912	
10884	294	
7772	7375	
6450	149	
8435	6745	
11216	3616	
9779	11020	
7879	3807	
5339	5735	
8899	5291	
1084	11844	
3450	7421	
1496	7818	
6109	7214	
1398	7711	
6811	5182	
8894	3451	
845	9649	
10199	6807	
9153	3507	
2202	8388	
5414	2972	
4947	11225	
8336	7343	
10740	11396	
1929	7132	
4086	5953	
981	9574	
7917	1800	
9728	4062	
11654	9921	
2406	3310	
2304	8179	
3678	5778	
10724	11257	
7620	5920	
9026	9846	
6113	5992	
6409	6368	
10874	1783	
10851	4055	
7730	7222	
8587	8825	
8093	655	
10348	4014	
2530	4367	
8631	4094	
8203	11175	
2400	9699	
2764	10604	
2166	9881	
6286	3423	
10173	433	
3063	3527	
8842	9125	
4376	5114	
1850	8998	
7219	2811	
8527	9873	
3078	1469	
4104	2624	
7992	9637	
5020	10716	
1823	9485	
6451	8496	
8300	3813	
1441	5881	
11188	11444	
10752	922	
4251	11389	
7945	4269	
8383	6077	
6446	8883	
4830	1648	
151	1612	
4134	2675	
6647	8513	
9687	5604	
10474	10398	
1462	1669	
1901	7294	
